index,52,51,53,54,55,56,57,58,59
D_0__Archaea;D_1__Altiarchaeota,2,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Asgardaeota,15,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Crenarchaeota,100,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Diapherotrites,28,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Euryarchaeota,41,5,0,0,0,0,0,0,0
D_0__Archaea;D_1__Nanoarchaeaeota,1167,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Thaumarchaeota,39,0,0,0,0,0,0,0,0
D_0__Archaea;__,23,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Acetothermia,33,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Acidobacteria,4584,5730,2754,3548,3564,2723,2029,2298,3127
D_0__Bacteria;D_1__Actinobacteria,4302,9572,3151,4908,4694,4215,1539,3002,3649
D_0__Bacteria;D_1__Armatimonadetes,23,183,8,6,19,76,40,348,14
D_0__Bacteria;D_1__Atribacteria,6,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__BRC1,763,12,7,0,0,0,0,0,0
D_0__Bacteria;D_1__Bacteroidetes,12306,12006,4020,2894,3832,4297,6705,5499,1742
D_0__Bacteria;D_1__CK-2C2-2,17,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Calditrichaeota,1630,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Chlamydiae,418,166,24,43,6,49,43,19,4
D_0__Bacteria;D_1__Chloroflexi,4407,1819,597,846,556,616,367,730,551
D_0__Bacteria;D_1__Cloacimonetes,13,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Cyanobacteria,17956,1385,133,458,365,293,1871,161,64
D_0__Bacteria;D_1__Deinococcus-Thermus,17,64,23,0,0,0,33,36,0
D_0__Bacteria;D_1__Dependentiae,525,26,14,10,0,34,6,0,0
D_0__Bacteria;D_1__Elusimicrobia,155,13,9,24,17,56,0,3,9
D_0__Bacteria;D_1__Entotheonellaeota,0,0,0,0,21,0,0,0,12
D_0__Bacteria;D_1__Epsilonbacteraeota,33,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__FBP,0,63,22,0,0,23,33,17,0
D_0__Bacteria;D_1__Fibrobacteres,285,190,46,57,98,95,131,311,23
D_0__Bacteria;D_1__Firmicutes,198,381,331,23,117,104,111,114,258
D_0__Bacteria;D_1__Fusobacteria,5,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Gemmatimonadetes,2417,1196,193,218,186,1242,262,836,100
D_0__Bacteria;D_1__Halanaerobiaeota,0,4,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Hydrogenedentes,165,17,6,3,0,9,0,0,3
D_0__Bacteria;D_1__Kiritimatiellaeota,263,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__LCP-89,202,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Latescibacteria,2267,0,0,49,19,0,8,0,68
D_0__Bacteria;D_1__Lentisphaerae,300,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Margulisbacteria,117,0,3,0,0,0,0,0,0
D_0__Bacteria;D_1__Marinimicrobia (SAR406 clade),118,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Modulibacteria,367,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Nitrospinae,426,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Nitrospirae,3209,61,91,190,155,25,88,19,60
D_0__Bacteria;D_1__Omnitrophicaeota,854,0,5,0,0,7,51,0,0
D_0__Bacteria;D_1__Patescibacteria,2475,2980,414,134,100,1119,246,519,76
D_0__Bacteria;D_1__Planctomycetes,7154,2641,533,1137,962,774,868,1156,606
D_0__Bacteria;D_1__Poribacteria,29,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Proteobacteria,55889,33375,10983,12052,14001,16113,10127,11401,6772
D_0__Bacteria;D_1__Rokubacteria,0,0,0,63,47,0,0,0,14
D_0__Bacteria;D_1__Schekmanbacteria,311,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Spirochaetes,1450,0,0,13,10,0,54,0,0
D_0__Bacteria;D_1__Verrucomicrobia,2966,6507,1152,2138,2160,1766,1756,2095,771
D_0__Bacteria;D_1__WOR-1,38,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__WPS-2,7,19,0,10,0,12,0,0,0
D_0__Bacteria;D_1__WS2,62,51,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Zixibacteria,657,0,0,0,0,0,0,0,0
D_0__Bacteria;__,541,8,7,2,3,0,10,0,0
