index,52,51,53,54,55,56,57,58,59
D_0__Archaea;D_1__Altiarchaeota;D_2__Altiarchaeia,2,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Asgardaeota;D_2__Lokiarchaeia,15,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Crenarchaeota;D_2__Bathyarchaeia,100,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Diapherotrites;D_2__Iainarchaeia,28,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Euryarchaeota;D_2__Methanomicrobia,0,5,0,0,0,0,0,0,0
D_0__Archaea;D_1__Euryarchaeota;D_2__Thermococci,10,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Euryarchaeota;D_2__Thermoplasmata,31,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Nanoarchaeaeota;D_2__Nanohaloarchaeia,74,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Nanoarchaeaeota;D_2__Woesearchaeia,1093,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria,39,0,0,0,0,0,0,0,0
D_0__Archaea;__;__,23,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Acetothermia;D_2__Acetothermiia,33,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Acidobacteria;D_2__AT-s3-28,74,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia,102,933,211,182,325,969,293,226,183
D_0__Bacteria;D_1__Acidobacteria;D_2__Aminicenantia,310,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Blastocatellia (Subgroup 4),150,1762,563,177,501,209,923,1254,220
D_0__Bacteria;D_1__Acidobacteria;D_2__Holophagae,179,189,208,177,300,21,29,17,96
D_0__Bacteria;D_1__Acidobacteria;D_2__ODP1230B23.02,5,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 11,0,0,9,55,46,0,0,0,29
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 17,348,28,0,106,70,0,49,0,41
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 18,215,0,0,0,7,0,0,0,12
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 20,0,0,0,0,4,0,0,0,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 21,394,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 22,1161,0,0,20,48,0,0,0,38
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 25,0,0,6,27,5,0,0,0,11
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 26,57,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 5,0,13,70,44,77,23,0,15,73
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 6,141,2549,1585,2648,2072,583,610,786,2399
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 9,148,0,0,25,0,0,0,0,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Thermoanaerobaculia,1287,256,102,87,109,918,125,0,25
D_0__Bacteria;D_1__Acidobacteria;D_2__d142,13,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Actinobacteria;D_2__0319-7L14,0,0,3,0,0,0,0,0,28
D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia,3983,649,214,844,580,273,217,148,396
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria,70,7444,2477,1855,2247,2545,938,2314,1846
D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia,29,0,0,11,0,0,0,0,0
D_0__Bacteria;D_1__Actinobacteria;D_2__FFCH16263,0,0,0,114,164,0,11,0,59
D_0__Bacteria;D_1__Actinobacteria;D_2__MB-A2-108,0,0,23,208,123,0,0,0,171
D_0__Bacteria;D_1__Actinobacteria;D_2__Nitriliruptoria,2,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Actinobacteria;D_2__Thermoleophilia,145,1479,434,1808,1544,1397,373,540,1149
D_0__Bacteria;D_1__Actinobacteria;D_2__WCHB1-81,61,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Actinobacteria;__,12,0,0,68,36,0,0,0,0
